Date,Last
2018-05-10,34300
2018-05-11,33860
2018-05-15,34000
2018-05-16,33440
2018-05-17,32720
2018-05-18,32500
2018-05-21,32440
2018-05-22,32500
2018-05-23,32600
2018-05-24,32320
2018-05-25,33480
2018-05-28,33600
2018-05-29,33620
2018-05-30,33080
2018-05-31,33120
2018-06-01,33720
2018-06-05,33700
2018-06-06,33780
2018-06-07,33080
2018-06-08,33140
2018-06-12,33600
2018-06-13,33540
2018-06-14,33800
2018-06-15,33020
2018-06-18,34100
2018-06-19,34000
2018-06-20,33620
2018-06-21,34060
2018-06-22,33500
2018-06-25,33520
2018-06-26,33800
2018-06-27,33800
2018-06-28,34560
2018-06-29,35320
2018-07-03,35420
2018-07-04,35540
2018-07-05,35800
2018-07-06,35480
2018-07-09,35000
2018-07-10,35000
2018-07-11,35000
2018-07-12,34600
2018-07-13,34700
2018-07-16,35000
2018-07-17,34720
2018-07-18,34680
2018-07-19,34440
2018-07-23,34560
2018-07-24,34540
2018-07-25,33600
2018-07-26,34000
2018-07-27,34440
2018-07-30,34220
2018-07-31,33460
2018-08-01,34380
2018-08-02,33320
2018-08-03,34300
2018-08-06,33580
2018-08-08,34000
2018-08-09,34000
2018-08-10,33100
2018-08-13,33180
2018-08-14,33020
2018-08-15,33260
2018-08-16,33520
2018-08-17,33560
2018-08-21,33420
2018-08-22,33280
2018-08-23,33080
2018-08-24,33000
2018-08-27,33960
2018-08-28,33880
2018-08-29,33400
2018-08-30,32980
2018-08-31,32800
2018-09-03,32960
2018-09-04,32620
2018-09-05,32360
2018-09-06,32260
2018-09-07,31500
2018-09-10,30720
2018-09-11,30500
2018-09-12,31160
2018-09-13,30860
2018-09-14,31800
2018-09-17,30820
2018-09-18,31280
2018-09-19,31640
2018-09-20,32000
2018-09-21,32180
2018-09-24,31700
2018-09-25,31500
2018-09-26,31480
2018-09-27,31720
2018-09-28,31900
2018-10-01,32040
2018-10-02,32040
2018-10-03,32400
2018-10-04,32160
2018-10-05,31560
2018-10-08,31500
2018-10-09,31720
2018-10-10,31080
2018-10-11,30260
2018-10-12,30040
2018-10-16,31480
2018-10-17,30880
2018-10-18,30100
2018-10-19,30200
2018-10-22,30240
2018-10-23,30500
2018-10-24,30120
2018-10-25,29400
2018-10-26,29420
2018-10-29,29800
2018-10-30,29600
2018-10-31,30280
2018-11-01,31000
2018-11-02,31180
2018-11-06,31240
2018-11-07,32000
2018-11-08,32260
2018-11-09,31320
2018-11-13,30680
2018-11-14,31620
2018-11-15,33300
2018-11-16,33740
2018-11-19,33480
2018-11-20,33040
2018-11-21,33220
2018-11-22,33320
2018-11-23,32420
2018-11-26,33400
2018-11-27,33200
2018-11-28,33360
2018-11-29,33500
2018-11-30,32180
2018-12-03,33200
2018-12-04,33300
2018-12-05,33300
2018-12-06,32960
2018-12-07,32100
2018-12-10,32380
2018-12-11,32420
2018-12-12,32580
2018-12-13,32600
2018-12-14,32440
2018-12-17,31320
2018-12-18,31340
2018-12-19,31300
2018-12-20,30360
2018-12-21,31480
2018-12-24,30000
2018-12-26,30800
2018-12-27,30640
2018-12-28,30400
2019-01-02,31600
2019-01-03,32400
2019-01-04,32400
2019-01-08,32420
2019-01-09,32980
2019-01-10,33100
2019-01-11,33500
2019-01-14,33760
2019-01-15,33500
2019-01-16,33500
2019-01-17,33760
2019-01-18,34020
2019-01-21,34220
2019-01-22,34140
2019-01-23,34000
2019-01-24,33840
2019-01-25,33620
2019-01-28,33280
2019-01-29,33560
2019-01-30,33660
2019-01-31,33340
2019-02-01,34200
2019-02-04,35200
2019-02-05,35760
2019-02-06,35500
2019-02-07,35100
2019-02-08,35260
2019-02-11,34980
2019-02-12,34780
2019-02-13,34480
2019-02-14,34500
2019-02-15,34800
2019-02-18,34240
2019-02-19,34300
2019-02-20,34520
2019-02-21,34780
2019-02-22,35500
2019-02-25,35980
2019-02-26,35940
2019-02-27,35900
2019-02-28,35980
2019-03-01,35800
2019-03-04,35800
2019-03-05,36760
2019-03-06,36840
2019-03-07,36940
2019-03-08,36140
2019-03-11,37040
2019-03-12,37000
2019-03-13,38000
2019-03-14,39000
2019-03-15,39160
2019-03-18,39020
2019-03-19,39600
2019-03-20,40400
2019-03-21,41300
2019-03-22,39600
2019-03-26,39900
2019-03-27,38820
2019-03-28,38520
2019-03-29,39600
2019-04-01,38740
2019-04-02,38800
2019-04-03,39140
2019-04-04,40060
2019-04-05,40880
2019-04-08,41420
2019-04-09,41380
2019-04-10,41400
2019-04-11,41200
2019-04-12,41080
2019-04-15,39220
2019-04-16,39980
2019-04-17,41080
2019-04-22,41080
2019-04-23,40920
2019-04-24,41200
2019-04-25,41080
2019-04-26,40860
2019-04-29,40220
2019-04-30,39400
2019-05-02,38740
2019-05-03,37840
2019-05-06,38040
2019-05-07,38240
2019-05-08,38620
2019-05-09,38500
2019-05-10,39200
2019-05-13,37840
2019-05-14,37680
2019-05-15,37520
2019-05-16,36620
2019-05-17,36320
2019-05-20,36020
2019-05-21,36300
2019-05-22,36040
2019-05-23,36020
2019-05-24,36260
2019-05-27,35520
2019-05-28,35600
2019-05-29,36860
2019-05-30,37360
2019-05-31,37400
2019-06-04,38480
2019-06-05,37320
2019-06-07,38000
2019-06-10,37800
2019-06-11,39900
2019-06-12,38200
2019-06-13,38200
2019-06-14,38160
2019-06-17,37300
2019-06-18,38180
2019-06-20,38840
2019-06-21,38600
2019-06-25,38720
2019-06-26,38500
2019-06-27,38620
2019-06-28,38640
2019-07-02,38500
2019-07-03,38840
2019-07-04,38360
2019-07-05,38580
2019-07-08,38640
2019-07-09,38780
2019-07-10,38800
2019-07-11,39000
2019-07-12,39400
2019-07-15,39400
2019-07-16,39960
2019-07-17,39760
2019-07-18,38740
2019-07-19,39500
2019-07-22,39080
2019-07-23,39760
2019-07-24,39300
2019-07-25,39000
2019-07-26,39120
2019-07-29,38900
2019-07-30,38880
2019-07-31,39300
2019-08-01,37900
2019-08-02,38800
2019-08-05,37640
2019-08-06,38700
2019-08-08,39520
2019-08-09,39800
2019-08-12,39660
2019-08-13,40660
2019-08-14,39520
2019-08-15,40000
2019-08-16,40600
2019-08-20,40640
2019-08-21,39320
2019-08-22,38920
2019-08-23,38400
2019-08-26,39500
2019-08-27,38800
2019-08-28,39320
2019-08-29,39160
2019-08-30,39580
2019-09-02,39260
2019-09-03,39380
2019-09-04,39500
2019-09-05,38600
2019-09-06,38820
2019-09-09,38680
2019-09-10,38800
2019-09-11,39880
2019-09-12,39720
2019-09-13,39860
2019-09-16,39900
2019-09-17,40000
2019-09-18,40000
2019-09-19,39980
2019-09-20,39200
2019-09-23,40120
2019-09-24,40280
2019-09-25,40400
2019-09-26,40280
2019-09-27,39000
2019-09-30,39500
2019-10-01,40000
2019-10-02,39500
2019-10-03,40160
2019-10-04,40300
2019-10-07,40360
2019-10-08,40200
2019-10-09,39620
2019-10-10,39500
2019-10-11,40000
2019-10-15,39360
2019-10-16,39900
2019-10-17,40100
2019-10-18,39980
2019-10-21,42000
2019-10-22,41480
2019-10-23,41400
2019-10-24,40920
2019-10-25,41500
2019-10-28,40620
2019-10-29,41300
2019-10-30,40940
2019-10-31,41100
2019-11-01,41960
2019-11-05,43800
2019-11-06,43780
2019-11-07,43400
2019-11-08,42660
2019-11-12,41980
2019-11-13,41760
2019-11-14,41760
2019-11-15,41720
2019-11-18,42000
2019-11-19,41960
2019-11-20,41740
2019-11-21,42240
2019-11-22,41900
2019-11-25,41300
2019-11-26,41980
2019-11-27,41100
2019-11-28,41600
2019-11-29,41680
2019-12-02,41600
2019-12-03,41480
2019-12-04,41900
2019-12-05,42000
2019-12-06,42000
2019-12-09,42000
2019-12-10,41400
2019-12-11,41700
2019-12-12,42200
2019-12-13,42500
2019-12-16,42960
2019-12-17,43300
2019-12-18,43480
2019-12-19,44300
2019-12-20,43720
2019-12-23,44840
2019-12-26,43700
2019-12-27,44000
2019-12-30,44000
2020-01-02,44380
2020-01-03,44300
2020-01-07,43800
2020-01-08,43460
2020-01-09,43300
2020-01-10,42640
2020-01-13,42540
2020-01-14,42880
2020-01-15,42980
2020-01-16,43980
2020-01-17,44600
2020-01-20,44500
2020-01-21,44020
2020-01-22,43680
2020-01-23,43720
2020-01-24,43900
2020-01-27,42720
2020-01-28,42600
2020-01-29,42740
2020-01-30,42720
2020-01-31,42440
2020-02-03,42380
2020-02-04,43440
2020-02-05,43660
2020-02-06,44200
2020-02-07,44280
2020-02-10,44480
2020-02-11,44080
2020-02-12,43980
2020-02-13,44480
2020-02-14,44700
2020-02-17,44460
2020-02-18,43900
2020-02-19,44180
2020-02-20,43860
2020-02-21,40520
2020-02-24,40080
2020-02-25,40340
2020-02-26,39680
2020-02-27,39500
2020-02-28,39000
2020-03-02,38120
2020-03-03,36740
2020-03-04,37500
2020-03-05,37540
2020-03-06,36700
2020-03-09,31420
2020-03-10,31720
2020-03-11,29900
2020-03-12,28600
2020-03-16,23440
2020-03-17,22880
2020-03-18,20000
2020-03-19,20100
2020-03-20,18700
2020-03-24,18500
2020-03-25,22000
2020-03-26,25800
2020-03-27,25700
2020-03-30,25040
2020-03-31,25080
2020-04-01,24000
2020-04-02,23800
2020-04-03,23800
2020-04-06,25400
2020-04-07,26000
2020-04-08,26100
2020-04-13,26960
2020-04-14,26720
2020-04-15,26800
2020-04-16,26880
2020-04-17,26500
2020-04-20,26200
2020-04-21,24800
2020-04-22,24780
2020-04-23,24500
2020-04-24,23040
2020-04-27,24500
2020-04-28,25500
2020-04-29,25020
2020-04-30,25320
2020-05-04,24140
2020-05-05,23780
2020-05-06,23000
2020-05-07,24240
2020-05-08,24000
2020-05-11,23600
2020-05-12,23500
2020-05-13,22260
2020-05-14,21480
2020-05-15,21520
2020-05-18,22240
2020-05-19,21620
2020-05-20,21520
2020-05-21,21700
2020-05-22,21220
2020-05-26,22300
2020-05-27,23980
2020-05-28,23700
2020-05-29,25000
2020-06-01,25020
2020-06-02,25000
2020-06-03,26800
2020-06-04,27320
2020-06-05,28600
2020-06-08,29600
2020-06-09,29000
2020-06-10,26300
2020-06-11,25220
2020-06-12,25700
2020-06-16,25500
2020-06-17,25360
2020-06-18,25600
2020-06-19,27380
2020-06-23,25420
2020-06-24,25000
2020-06-25,24740
2020-06-26,23820
2020-06-30,23940
2020-07-01,24000
2020-07-02,24100
2020-07-03,24940
2020-07-06,24440
2020-07-07,24120
2020-07-08,25500
2020-07-09,24800
2020-07-10,24980
2020-07-13,24680
2020-07-14,24120
2020-07-15,23860
2020-07-16,24320
2020-07-17,24440
2020-07-21,24560
2020-07-22,24900
2020-07-23,25480
2020-07-24,25480
2020-07-27,26380
2020-07-28,26340
2020-07-29,26500
2020-07-30,26400
2020-07-31,26800
2020-08-03,25620
2020-08-04,25000
2020-08-05,25340
2020-08-06,25000
2020-08-10,25400
2020-08-11,24780
2020-08-12,24800
2020-08-13,25500
2020-08-14,25140
2020-08-18,25520
2020-08-19,25100
2020-08-20,25520
2020-08-21,25620
2020-08-24,26200
2020-08-25,26800
2020-08-26,27000
2020-08-27,26720
2020-08-28,26700
2020-08-31,26000
2020-09-01,27400
2020-09-02,27700
2020-09-03,27300
2020-09-04,27260
2020-09-07,27380
2020-09-08,27040
2020-09-09,27300
2020-09-10,26520
2020-09-11,26160
2020-09-14,25600
2020-09-15,25340
2020-09-16,25360
2020-09-17,25700
2020-09-18,26200
2020-09-21,25340
2020-09-22,24800
2020-09-23,25000
2020-09-24,24980
2020-09-25,25200
2020-09-28,24900
2020-09-29,24460
2020-09-30,24280
2020-10-01,24160
2020-10-02,24500
2020-10-05,24290
2020-10-06,25090
2020-10-07,24660
2020-10-08,25460
2020-10-09,25490
2020-10-13,24600
2020-10-14,24980
2020-10-15,24300
2020-10-16,24330
2020-10-19,25170
2020-10-20,25800
2020-10-21,25660
2020-10-22,25090
2020-10-23,24990
2020-10-26,25900
2020-10-27,25690
2020-10-28,24400
2020-10-29,23980
2020-10-30,24500
2020-11-03,24800
2020-11-04,24990
2020-11-05,25180
2020-11-06,25500
2020-11-09,26780
2020-11-10,26350
2020-11-11,26580
2020-11-12,25940
2020-11-13,26400
2020-11-17,26560
2020-11-18,27000
2020-11-19,26970
2020-11-20,27680
2020-11-23,28200
2020-11-24,28300
2020-11-25,27700
2020-11-26,27590
2020-11-27,27590
2020-11-30,27680
2020-12-01,28200
2020-12-02,28800
2020-12-03,29400
2020-12-04,30600
2020-12-07,30700
2020-12-09,32000
2020-12-10,31720
2020-12-11,32000
2020-12-14,32700
2020-12-15,33730
2020-12-16,34010
2020-12-17,35200
2020-12-18,34900
2020-12-21,33060
2020-12-22,34370
2020-12-23,34040
2020-12-24,34100
2020-12-28,34500
2020-12-29,34880
2020-12-30,34980
2021-01-04,33500
2021-01-05,35670
2021-01-06,34100
2021-01-07,34310
2021-01-08,35100
2021-01-12,35000
2021-01-13,34580
2021-01-14,34380
2021-01-15,33100
2021-01-18,33450
2021-01-19,32860
2021-01-25,30480
2021-01-26,30800
2021-01-27,30000
2021-01-28,29900
2021-01-29,30600
2021-02-01,31210
2021-02-02,31610
2021-02-03,31000
2021-02-04,31000
2021-02-05,31500
2021-02-08,31650
2021-02-09,31690
2021-02-10,31510
2021-02-11,31060
2021-02-12,30850
2021-02-15,30900
2021-02-16,30900
2021-02-17,31200
2021-02-18,30890
2021-02-19,31100
2021-02-22,31000
2021-02-23,31050
2021-02-24,31800
2021-02-25,30300
2021-03-01,30710
2021-03-02,30450
2021-03-03,30300
2021-03-04,30380
2021-03-05,30000
2021-03-08,29750
2021-03-09,30170
2021-03-10,30140
2021-03-11,30160
2021-03-12,30520
2021-03-15,30400
2021-03-16,30040
2021-03-17,29700
2021-03-18,29800
2021-03-19,29200
2021-03-23,29810
2021-03-24,30000
2021-03-25,30300
2021-03-26,29500
2021-03-29,29200
2021-03-30,29030
2021-03-31,28750
2021-04-05,29360
2021-04-06,29430
2021-04-07,30000
2021-04-08,30300
2021-04-09,30700
2021-04-12,29930
2021-04-13,29370
2021-04-14,29880
2021-04-15,30850
2021-04-16,30340
2021-04-19,30060
2021-04-20,30300
2021-04-21,29800
2021-04-22,29360
2021-04-23,28800
2021-04-26,28990
2021-04-27,29490
2021-04-28,29000
2021-04-29,28500
2021-04-30,28100
2021-05-03,27400
2021-05-04,27100
2021-05-05,27660
2021-05-06,28520
2021-05-07,28940
2021-05-10,29520
2021-05-11,28940
2021-05-12,28660
2021-05-13,27910
2021-05-14,28960
2021-05-18,28400
2021-05-19,28250
2021-05-20,27880
2021-05-21,27710
2021-05-24,27400
2021-05-25,27490
2021-05-26,27200
2021-05-27,27500
2021-05-28,27300
2021-05-31,27000
2021-06-01,27710
2021-06-02,27800
2021-06-03,28340
2021-06-04,27800
2021-06-08,28190
2021-06-09,28340
2021-06-10,28100
2021-06-11,28320
2021-06-15,27700
2021-06-16,27650
2021-06-17,27500
2021-06-18,27800
2021-06-21,27490
2021-06-22,27150
2021-06-23,26890
2021-06-24,27400
2021-06-25,27680
2021-06-28,27050
2021-06-29,26360
2021-06-30,26400
2021-07-01,26080
2021-07-02,27500
2021-07-06,27010
2021-07-07,27600
2021-07-08,27610
2021-07-09,28100
2021-07-12,28180
2021-07-13,28070
2021-07-14,28100
2021-07-15,28000
2021-07-16,27990
2021-07-19,27200
2021-07-21,27820
2021-07-22,28100
2021-07-23,28270
2021-07-26,28300
2021-07-27,28020
2021-07-28,27800
2021-07-29,27720
2021-07-30,27100
2021-08-02,27700
2021-08-03,27640
2021-08-04,28190
2021-08-05,27530
2021-08-06,27250
2021-08-09,27520
2021-08-10,27800
2021-08-11,28200
2021-08-12,28990
2021-08-13,29610
2021-08-17,30500
2021-08-18,31380
2021-08-19,31600
2021-08-20,31270
2021-08-23,31480
2021-08-24,31400
2021-08-25,31330
2021-08-26,30800
2021-08-27,31200
2021-08-30,31330
2021-08-31,31070
2021-09-01,31300
2021-09-02,31200
2021-09-03,31400
2021-09-06,31260
2021-09-07,31000
2021-09-08,31020
2021-09-09,31390
2021-09-10,31290
2021-09-13,30800
2021-09-14,31000
2021-09-15,31200
2021-09-16,31180
2021-09-17,31300
2021-09-20,30900
2021-09-21,30570
2021-09-22,30500
2021-09-23,30640
2021-09-24,30880
2021-09-27,32370
2021-09-28,32420
2021-09-29,32680
2021-09-30,32960
2021-10-01,33000
2021-10-04,33280
2021-10-05,33100
